lon,lat,ortho_h,class_ph,confidence,x_atc,y_atc
18.042972473859514,-33.182207130802304,-2.3675637,40,0.8413369655609131,36452523.91666215,8731.062
18.042972593231983,-33.18220711342649,-1.6151825,40,0.6186554431915283,36452523.91766351,8731.041
18.04297111671124,-33.182194280977654,-2.2729135,40,0.8501881957054138,36452525.347776346,8731.05
18.04296832072043,-33.1821686007109,-2.6142,40,0.5555399060249329,36452528.209513746,8731.041
18.042958867861564,-33.18207876111186,-1.872147,40,0.515247642993927,36452538.211709045,8730.958
18.042958815350197,-33.18207876875505,-2.2031195,40,0.6701204776763916,36452538.21172049,8730.967
18.042955463079963,-33.182046713091516,-1.8432786,40,0.6761102080345154,36452541.78061964,8730.934
18.042954033385175,-33.18203390975904,-2.2673016,40,0.7497281432151794,36452543.20653536,8730.936
18.042952033154425,-33.182014688815336,-2.0007205,40,0.528754711151123,36452545.346403144,8730.915
18.04295131728894,-33.182008291026165,-2.2239475,40,0.7173655033111572,36452546.05936053,8730.916
18.042949962906953,-33.18199548502241,-2.1842973,40,0.7256949543952942,36452547.487127356,8730.905
18.042938456898266,-33.18188676793465,-1.958921,40,0.5104005932807922,36452559.59157712,8730.818
18.042937103302638,-33.18187399544728,-1.9490674,40,0.5104005932807922,36452561.014333315,8730.809
18.042933715403002,-33.18184207317692,-1.9562415,40,0.5069399476051331,36452564.56860978,8730.785
18.04292485940848,-33.181759179508525,-2.3449676,40,0.5991184711456299,36452573.80047233,8730.733
18.042873318651964,-33.18127859516373,-2.4868183,40,0.5146618485450745,36452627.32246764,8730.427
18.042865054826155,-33.18120313446287,-3.150777,40,0.5754117965698242,36452635.72648743,8730.401
18.042861089482628,-33.181165381598284,-2.4270115,40,0.7196456789970398,36452639.93000439,8730.361
18.04285974782749,-33.181152799810285,-2.3103957,40,0.6454571485519409,36452641.33082798,8730.351
18.042827695854093,-33.180856943892046,-2.6194088,40,0.7047286629676819,36452674.28374371,8730.194
18.04282565370867,-33.18083802870309,-2.5941734,40,0.7047308683395386,36452676.390152305,8730.184
18.042822346265382,-33.18080647941807,-1.9394665,40,0.529148280620575,36452679.902532905,8730.148
18.042821808156166,-33.18080014982808,-1.0299405,40,0.4565503001213074,36452680.60601553,8730.12
18.04282112783328,-33.180793840286526,-1.016433,40,0.49976807832717896,36452681.30849108,8730.116
18.042820978437533,-33.18079386152591,-1.9578099,40,0.5320468544960022,36452681.30749163,8730.142
18.042819743677303,-33.18078122176612,-1.1350412,40,0.36344602704048157,36452682.714490265,8730.112
18.042819759258947,-33.180781219496694,-1.03682,40,0.4880622625350952,36452682.71448454,8730.11
18.042819080718594,-33.18077490682666,-1.0101994,40,0.6391566395759583,36452683.41695914,8730.105
18.042818395774503,-33.18076859491339,-1.0238454,40,0.45409512519836426,36452684.12047514,8730.103
18.042817444804673,-33.18076232055783,-2.712925,40,0.7906051874160767,36452684.820958465,8730.145
18.042816964155225,-33.18075597803699,-1.4382381,40,0.3686579465866089,36452685.52544913,8730.106
18.04281612417749,-33.180749686698725,-2.4278605,40,0.6159061789512634,36452686.22798094,8730.13
18.04281536806326,-33.18074338245365,-2.887692,40,0.6159061789512634,36452686.93048605,8730.139
18.042814969843132,-33.18073702583431,-1.0919163,40,0.45176494121551514,36452687.63764485,8730.087
18.042814072035263,-33.180730740802865,-2.4446898,40,0.6467591524124146,36452688.33908623,8730.12
18.04281431195969,-33.1807307063791,-0.9326608,40,0.62496417760849,36452688.34116214,8730.079
18.04281334889714,-33.18072442966844,-2.695995,40,0.5795201659202576,36452689.042607956,8730.123
18.042812927049372,-33.1807180739734,-1.0469637,40,0.5064774751663208,36452689.748196654,8730.075
18.04281224618698,-33.180711755249966,-1.0308478,40,0.5041382908821106,36452690.4517129,8730.071
18.042810846789486,-33.18069912109642,-1.2339686,40,0.5918052196502686,36452691.85978752,8730.069
18.042809469759785,-33.18068648121378,-1.295171,40,0.6193642616271973,36452693.2668181,8730.064
18.042808192179304,-33.18067382334929,-0.72649294,40,0.37297093868255615,36452694.67591386,8730.042
18.04280748415828,-33.180667503359814,-0.87814665,40,0.350780189037323,36452695.38047033,8730.042
18.042806674981723,-33.18066119729175,-1.6669044,40,0.6043255925178528,36452696.08296304,8730.061
18.042806595072452,-33.18066120893071,-2.1706226,40,0.6621999144554138,36452696.08297735,8730.074
18.04280535594984,-33.18064853981251,-1.3557881,40,0.6343778967857361,36452697.49206071,8730.045
18.04280539798447,-33.18064853369,-1.090818,40,0.49382561445236206,36452697.49309354,8730.037
18.04280544703315,-33.18064852654585,-0.7816316,40,0.39117541909217834,36452697.49308305,8730.029
18.042804003211344,-33.180635883086524,-1.2543691,40,0.6343778967857361,36452698.90220266,8730.035
18.042802688557913,-33.18062321857485,-0.91204417,40,0.4738050103187561,36452700.31233125,8730.019
18.04280249349511,-33.18062324646787,-2.1413019,40,0.6349822878837585,36452700.310299926,8730.052
18.04280268178808,-33.18062321956092,-0.9547194,40,0.6554219126701355,36452700.31233411,8730.02
18.04280188544399,-33.18061690557976,-1.6585414,40,0.8930522799491882,36452701.015872054,8730.035
18.042801802863327,-33.180616917608305,-2.1791027,40,0.651599109172821,36452701.01485448,8730.05
18.042801205408924,-33.18061057435092,-1.6283176,40,0.9061683416366577,36452701.72042184,8730.031
